nom_depto;depto;nom_mun;codigo;NBI1993;NBI2005;HDCT93;HDCL93;HDCT2005;HDCL2005;TMI2005;TMI2016;VA2011;VA2015;CON2018;SUB2018
ANTIOQUIA;5;Medellín;5001;16,08350839;12,42408975;8,06;13,43;6,73;7,27;14;11,11559331;32991,69231;44303,53745;0,804013392;0,242370593
ANTIOQUIA;5;Abejorral;5002;43,61016949;33,85111963;2,08;55,46;1,94;45,83;16,44;13,06299649;127,0406144;164,3754334;0,129555928; 0,66 
ANTIOQUIA;5;Abriaqui;5004;45,56479556;28,53828306;1,57;72,87;1,9;53,02;18,63;17,02005937;17,00193995;16,82398412;0,153046062;0,689450223
ANTIOQUIA;5;Alejandría;5021;56,45639289;33,13609468;2,74;59,45;1,53;46,41;20,4;17,12597932;101,1310864;38,11576332;0,152667256;0,870026525
ANTIOQUIA;5;Amaga;5030;31,6643631;27,06904492;3,36;33,22;2,86;14,18;14,65;11,89125837;197,5837805;298,8541868;0,461574383;0,338892595
ANTIOQUIA;5;Amalfi;5031;53,79176242;45,2854895;4,49;52,72;5,03;43,08;17,26;13,81823367;252,3228085;197,8223827;0,191799768; 0,75 
ANTIOQUIA;5;Andes;5034;36,82361016;30,49314016;4,42;46,21;4,76;40,88;14,45;14,45159764;337,5080896;631,6101491;0,178438901;0,626069797
ANTIOQUIA;5;Angelopolis;5036;38,22586391;25,97277233;2,55;54,02;15,33;21,28;14,02;13,50539045;47,63324738;73,46781191;0,160047743;0,300889757
ANTIOQUIA;5;Angostura;5038;59,58115183;55,15901918;1,08;73,68;1,68;69,02;31,34;27,41441677;201,1903719;116,3618047;0,092108807;0,778256576
ANTIOQUIA;5;Anorí;5040;68,05985552;48,1400665;7,56;74,89;6,6;48,89;25,96;20,79075144;152,2966063;139,9029735;0,0970835;0,794646424
ANTIOQUIA;5;Antioquia;5042;54,55817569;44,10495423;5,71;56,4;8,13;36,85;20,94;15,81705971;167,7576666;262,2913128;0,359204979;0,676651275
ANTIOQUIA;5;Anza;5044;70,14696877;51,336318;2,66;79,99;3,44;66,83;17,99;14,93366067;61,29702097;58,96130614;0,153207746;0,725200896
ANTIOQUIA;5;Apartado;5045;51,37974589;24,5338345;10,23;54,45;25,97;14,86;14,57;11,24842496;1569,941907;2196,282474;0,457509573;0,272420441
ANTIOQUIA;5;Arboletes;5051;79,5858721;72,39527089;11,33;75,55;8,53;67,31;26,63;20,11085281;202,6892722;294,4032983;0,08723198;0,633672963
ANTIOQUIA;5;Argelia;5055;59,89819528;38,96526238;8,56;77,31;4,22;56,86;21,17;17,31583861;141,9419784;57,39086895;0,068359839;0,766911939
ANTIOQUIA;5;Armenia;5059;44,99098213;39,83084186;1,33;65,81;0,83;44,47;20,74;19,31906728;80,91221626;49,77200498;0,294614048;0,687515513
ANTIOQUIA;5;Barbosa;5079;33,68142095;21,72873732;6,54;36,85;1,35;29,47;13,3;13,27902556;588,0005161;921,7285584;0,460797799;0,331906155
ANTIOQUIA;5;Belmira;5086;35,13937966;29,04946654;1,33;67,65;1,96;59,08;23,07;18,20266956;37,15341183;64,96477844;0,1584;0,418036364
ANTIOQUIA;5;Bello;5088;16,30029463;10,58263019;5,93;14,71;5,39;7,77;9,49;8,774387715;3023,409505;4435,801175;0,647002786;0,186634363
ANTIOQUIA;5;Betania;5091;41,2191582;31,245004;2,12;51,41;5,17;46,83;20,25;19,74177948;117,5795068;113,4953772;0,091529904;0,712963983
ANTIOQUIA;5;Betulia;5093;57,19757643;45,35628019;2,59;66,39;3,3;53,35;20,74;18,94392417;157,248938;169,5167245;0,066183548;0,790862254
